State,District,Latitude,Longitude,Population in 2001,Population in 2011,Literate,Male_Literate,Female_Literate,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Households_with_Television,Households_with_Telephone_Mobile_Phone,Households_with_Telephone_Mobile_Phone_Both
Uttar Pradesh,Pratapgarh,25.86484273170732,81.93530048780492,2731174,3209141,401515,250122,151393,62048,2803,1433,37216,78345,4004
Uttar Pradesh,Pratapgarh,25.86484273170732,81.93530048780492,2731174,3209141,1931559,1121381,810178,447696,15781,6063,135185,397265,10950
Uttar Pradesh,Rae Bareli,26.25390284005979,81.22260463378181,2872335,3405559,1965843,1165965,799878,509053,13483,7023,130197,363829,11007
Uttar Pradesh,Rampur,28.83244727272725,79.10977333333338,1923739,2335819,1043666,630408,413258,247366,14386,6956,134249,253787,6043
Uttar Pradesh,Saharanpur,30.03381165217392,77.59905147826096,2896863,3466382,2077108,1220114,856994,365960,21310,17404,294410,419470,15910
Uttar Pradesh,Sant Kabir Nagar,26.791596516393447,83.0387764344262,1420226,1715183,954949,567098,387851,201340,6778,2386,49191,195440,3780
Uttar Pradesh,Shahjahanpur,27.991389350649328,79.8302275324675,2464930,3006538,1490930,915142,575788,333199,9927,5667,135885,288372,7979
Uttar Pradesh,Sitapur,27.50199596309111,80.85288881199547,3619661,4483992,2283733,1397702,886031,575384,11679,4775,123246,369436,8537
Uttar Pradesh,Sonbhadra,24.46693268858798,83.06816324951639,1504852,1862559,985708,601988,383720,203774,10279,8208,80712,165535,7734
Uttar Pradesh,Sultanpur,26.284638641975302,82.05710456790123,3214832,3797117,2239902,1300248,939654,526011,18382,8061,135697,440274,14299
Uttar Pradesh,Unnao,26.63163990895297,80.636773292868,2700324,3108367,1773584,1053063,720521,417537,10191,5016,134235,306178,8742
Uttar Pradesh,Varanasi,25.360570888888887,82.82529666666672,3138671,3676841,2403903,1389116,1014787,412569,24216,29831,309911,398076,19388
West Bengal,Bankura,23.081280892857155,87.12640053571438,3192695,3596674,2232992,1299337,933655,546543,7898,6298,177819,297338,20907
West Bengal,Birbhum,24.06389342723,87.65153089201887,3015422,3502404,2158447,1201481,956966,451618,7305,6622,191514,272320,21042
West Bengal,Dakshin Dinajpur,25.342094363021435,88.69821679819614,1503178,1676276,1083685,596474,487211,225689,6211,3105,103980,154925,8866
West Bengal,Jalpaiguri,26.62642031250004,89.04154375000005,3401173,3872846,2498780,1396622,1102158,502539,16431,12288,268908,332800,26651
West Bengal,Kolkata,22.550581481481487,88.35276481481479,4572876,4496694,3588137,1926915,1661222,252887,85605,96030,816141,857883,168382
West Bengal,Maldah,25.080268025751053,88.17191684549357,3290468,3988845,2086432,1152019,934413,401774,9639,6001,142659,295922,14202
West Bengal,Murshidabad,24.25950655391121,88.1681686046512,5866569,7103807,4055834,2177187,1878647,840951,14050,9190,296566,530442,24651
West Bengal,Nadia,23.56410971055088,88.58293034547151,4604827,5167600,3480555,1878866,1601689,796698,18658,11880,384314,544290,30270
West Bengal,Uttar Dinajpur,26.044619165196977,88.23595232216337,2441794,3007134,1489667,853495,636172,362567,8150,3450,105431,198832,7563
